=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.11 11:40:30 =~=~=~=~=~=~=~=~=~=~=~=
41674,1259817395,99836.77,27.47,1.595,1.539,-0.130
41676,1259877394,99833.09,27.47,1.617,1.849,-0.285
41678,1259937396,99831.35,27.47,1.696,1.996,0.386
41680,1259997409,99830.83,27.47,1.737,2.040,1.018
41682,1260057395,99832.88,27.47,1.777,1.867,0.845
41684,1260117395,99834.54,27.47,1.799,1.726,0.812
41686,1260177394,99836.94,27.47,1.781,1.524,0.405
41688,1260237396,99837.73,27.47,1.743,1.458,-0.228
41690,1260297395,99835.60,27.47,1.712,1.637,-0.695
41692,1260357395,99833.72,27.47,1.727,1.796,-0.510
41694,1260417395,99832.22,27.47,1.775,1.922,0.236
41696,1260477394,99836.41,27.47,1.771,1.568,0.664
41698,1260537396,99832.54,27.47,1.790,1.896,0.134
41700,1260597400,99835.84,27.47,1.769,1.617,0.052
41702,1260657395,99833.66,27.47,1.777,1.800,-0.109
41704,1260717395,99832.78,27.47,1.757,1.875,-0.212
41706,1260777395,99833.62,27.47,1.757,1.805,-0.212
41708,1260837396,99835.66,27.47,1.776,1.632,0.252
41710,1260897395,99835.49,27.47,1.756,1.646,0.190
41712,1260957395,99837.14,27.47,1.731,1.507,-0.273
41714,1261017395,99833.54,27.47,1.756,1.811,-0.256
41716,1261077394,99833.33,27.47,1.742,1.829,-0.037
41718,1261137396,99837.28,27.47,1.657,1.495,-0.418
41720,1261197400,99832.63,27.47,1.678,1.887,-0.866
41722,1261257395,99834.92,27.47,1.709,1.694,0.197
41724,1261317395,99834.88,27.47,1.715,1.697,0.514
41726,1261377394,99831.92,27.47,1.746,1.948,0.118
41728,1261437396,99833.02,27.47,1.735,1.854,0.193
41730,1261497394,99835.02,27.47,1.737,1.686,0.085
41732,1261557395,99835.01,27.47,1.738,1.687,0.118
41734,1261617395,99832.30,27.47,1.755,1.916,-0.033
41736,1261677394,99832.66,27.47,1.776,1.886,0.189
41738,1261737396,99833.45,27.46,1.783,1.819,0.348
41740,1261797400,99836.74,27.46,1.761,1.540,0.187
41742,1261857395,99832.28,27.46,1.799,1.917,-0.076
41744,1261917395,99831.43,27.46,1.826,1.990,0.271
41746,1261977394,99831.09,27.46,1.859,2.018,0.470
41748,1262037396,99832.39,27.46,1.885,1.908,0.594
41750,1262097394,99833.52,27.45,1.864,1.813,0.331
41752,1262157395,99831.31,27.46,1.894,1.999,-0.088
41754,1262217394,99831.89,27.46,1.902,1.951,0.267
41756,1262277394,99834.02,27.46,1.892,1.770,0.202
41758,1262337395,99835.41,27.45,1.861,1.653,-0.093
41760,1262397400,99832.93,27.45,1.865,1.863,-0.385
41762,1262457395,99831.17,27.46,1.901,2.011,-0.001
41764,1262517395,99834.75,27.46,1.890,1.709,0.434
41766,1262577394,99832.53,27.46,1.903,1.896,0.062
41768,1262637396,99834.25,27.46,1.857,1.751,-0.162
41770,1262697394,99832.55,27.46,1.833,1.895,-0.628
41772,1262757395,99835.41,27.46,1.831,1.653,-0.270
41774,1262817395,99836.05,27.47,1.794,1.599,-0.076
41776,1262877394,99836.51,27.47,1.759,1.560,-0.549
41778,1262937396,99838.48,27.47,1.691,1.394,-0.691
41780,1262997400,99837.03,27.47,1.695,1.516,-0.739
41782,1263057395,99836.58,27.47,1.651,1.555,-0.391
41784,1263117395,99837.91,27.47,1.642,1.441,-0.484
41786,1263177394,99836.16,27.47,1.597,1.589,-0.431
41788,1263237396,99837.77,27.47,1.529,1.453,-0.913
41790,1263297395,99836.24,27.47,1.536,1.583,-0.749
41792,1263357395,99836.51,27.47,1.541,1.560,-0.033
41794,1263417395,99835.56,27.48,1.559,1.640,0.129
41796,1263477394,99835.02,27.48,1.580,1.686,0.248
41798,1263537396,99836.48,27.48,1.543,1.563,0.081
41800,1263597400,99836.64,27.48,1.531,1.549,-0.372
41802,1263657395,99836.30,27.48,1.540,1.578,-0.122
41804,1263717395,99835.87,27.48,1.559,1.614,0.155
41806,1263777395,99837.28,27.49,1.546,1.495,0.193
41808,1263837396,99838.08,27.49,1.520,1.427,-0.161
41810,1263897395,99840.92,27.49,1.464,1.187,-0.433
41812,1263957395,99836.02,27.49,1.454,1.601,-0.810
41814,1264017395,99835.14,27.49,1.469,1.676,-0.391
41816,1264077394,99836.87,27.49,1.472,1.530,0.219
41818,1264137396,99839.33,27.49,1.430,1.322,0.024
41820,1264197400,99838.97,27.49,1.410,1.352,-0.464
41822,1264257395,99837.59,27.49,1.412,1.469,-0.342
41824,1264317395,99836.34,27.49,1.392,1.574,-0.257
41826,1264377394,99840.49,27.49,1.397,1.224,-0.033
41828,1264437396,99840.03,27.49,1.401,1.262,0.256
41830,1264497394,99840.02,27.49,1.385,1.264,-0.073
41832,1264557395,99841.09,27.49,1.358,1.172,-0.267
41834,1264617394,99839.38,27.49,1.333,1.318,-0.499
41836,1264677395,99840.85,27.50,1.318,1.193,-0.411
41838,1264737396,99838.73,27.50,1.337,1.372,-0.110
41840,1264797400,99842.98,27.50,1.327,1.013,0.248
41842,1264857395,99838.00,27.49,1.358,1.434,0.046
41844,1264917395,99838.09,27.50,1.358,1.427,0.075
41846,1264977394,99836.09,27.50,1.386,1.595,0.094
41848,1265037396,99835.70,27.50,1.443,1.628,0.509
41850,1265097394,99841.13,27.49,1.393,1.169,0.639
41852,1265157395,99836.09,27.50,1.427,1.596,-0.270
41854,1265217394,99838.70,27.50,1.448,1.375,0.317
41856,1265277394,99837.36,27.50,1.461,1.488,0.416
41858,1265337396,99839.23,27.50,1.456,1.330,0.163
41860,1265397400,99839.09,27.50,1.408,1.341,-0.225
41862,1265457395,99837.84,27.50,1.438,1.447,-0.436
41864,1265517395,99836.84,27.50,1.441,1.532,0.177
41866,1265577394,99837.53,27.50,1.438,1.474,0.026
41868,1265637396,99841.27,27.50,1.363,1.158,-0.232
41870,1265697394,99839.05,27.50,1.382,1.346,-0.638
41872,1265757395,99843.24,27.50,1.296,0.991,-0.272
41874,1265817394,99841.73,27.50,1.314,1.119,-0.678
41876,1265877394,99836.97,27.50,1.337,1.521,-0.085
41878,1265937396,99838.04,27.50,1.385,1.431,0.351
41880,1265997400,99832.65,27.49,1.485,1.886,0.901
41882,1266057395,99836.30,27.49,1.527,1.578,1.311
41884,1266117395,99840.27,27.49,1.493,1.242,0.777
41886,1266177394,99834.07,27.49,1.545,1.766,-0.148
41888,1266237395,99833.68,27.49,1.610,1.799,0.566
41890,1266297394,99831.09,27.48,1.687,2.018,1.062
41892,1266357395,99833.70,27.48,1.708,1.797,1.050
41894,1266417394,99832.36,27.47,1.773,1.911,0.760
41896,1266477394,99828.91,27.47,1.837,2.203,0.853
41898,1266537396,99834.01,27.47,1.839,1.771,0.874
41900,1266597400,99834.68,27.47,1.867,1.714,0.567
41902,1266657395,99831.92,27.46,1.875,1.948,0.242
41904,1266717395,99831.97,27.46,1.894,1.943,0.083
41906,1266777394,99834.86,27.46,1.864,1.700,0.201
41908,1266837396,99833.80,27.46,1.838,1.789,-0.368
41910,1266897394,99831.14,27.46,1.905,2.014,-0.125
41912,1266957395,99834.59,27.46,1.897,1.722,0.711
41914,1267017394,99832.53,27.46,1.892,1.896,0.027
41916,1267077394,99834.07,27.47,1.853,1.766,-0.315
41918,1267137396,99836.74,27.47,1.785,1.540,-0.612
41920,1267197400,99834.19,27.47,1.786,1.757,-0.779
41922,1267257395,99831.83,27.47,1.780,1.956,-0.359
41924,1267317395,99835.12,27.47,1.763,1.678,-0.112
41926,1267377394,99834.23,27.47,1.811,1.753,0.216
41928,1267437396,99839.11,27.47,1.734,1.341,0.270
41930,1267497395,99832.08,27.47,1.768,1.934,-0.716
41932,1267557395,99830.84,27.47,1.828,2.039,0.207
41934,1267617395,99832.88,27.47,1.825,1.867,0.721
41936,1267677394,99831.07,27.47,1.844,2.019,0.155
41938,1267737396,99833.83,27.47,1.817,1.787,0.095
41940,1267797409,99834.25,27.48,1.811,1.751,-0.140
41942,1267857395,99833.44,27.48,1.796,1.820,-0.204
41944,1267917395,99834.99,27.48,1.801,1.688,-0.102
41946,1267977394,99838.59,27.48,1.734,1.385,-0.072
41948,1268037396,99833.85,27.48,1.772,1.785,-0.577
41950,1268097394,99832.59,27.48,1.791,1.891,0.139
41952,1268157395,99832.42,27.48,1.757,1.906,-0.026
41954,1268217395,99834.00,27.48,1.783,1.772,-0.126
41956,1268277394,99834.97,27.49,1.749,1.690,0.194
41958,1268337396,99834.66,27.48,1.738,1.716,-0.377
41960,1268397400,99830.56,27.49,1.790,2.062,-0.090
41962,1268457395,99837.07,27.49,1.704,1.513,0.188
41964,1268517395,99835.95,27.49,1.671,1.607,-0.800
