=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.10 17:36:38 =~=~=~=~=~=~=~=~=~=~=~=
3258,102761395,49843.87,27.59,-0.990,-0.367
3260,102821395,49846.05,27.59,-1.000,0.284
3262,102881395,49845.18,27.59,-0.992,0.098
3264,102941394,49845.06,27.59,-1.009,-0.120
3266,103001396,49844.59,27.59,-0.992,-0.146
3268,103061395,49844.67,27.59,-0.982,0.180
3270,103121394,49845.69,27.59,-1.016,0.051
3272,103181395,49846.06,27.58,-1.048,-0.399
3274,103241395,49846.93,27.58,-1.100,-0.558
3276,103301396,49844.79,27.58,-1.050,-0.455
3278,103361395,49844.32,27.58,-1.011,0.439
3280,103421395,49845.74,27.58,-1.029,0.479
3282,103481395,49844.80,27.58,-1.013,-0.015
3284,103541395,49843.62,27.57,-1.002,-0.002
3286,103601396,49844.07,27.57,-0.996,0.100
3288,103661394,49843.42,27.57,-0.997,0.048
3290,103721394,49846.89,27.57,-1.038,0.055
3292,103781395,49847.21,27.57,-1.079,-0.284
3294,103841394,49843.24,27.56,-1.023,-0.563
3296,103901396,49845.36,27.56,-1.010,0.452
3298,103961395,49845.23,27.56,-1.016,0.383
3300,104021395,49845.66,27.56,-1.053,-0.234
3302,104081395,49845.79,27.56,-1.074,-0.476
3304,104141395,49845.38,27.56,-1.025,-0.014
3306,104201396,49843.82,27.55,-1.008,0.411
3308,104261394,49844.72,27.55,-1.024,0.073
3310,104321395,49843.87,27.55,-1.006,-0.052
3312,104381395,49844.30,27.55,-1.015,0.082
3314,104441395,49843.88,27.55,-1.018,-0.091
3316,104501396,49845.27,27.54,-1.051,-0.135
3318,104561394,49845.98,27.54,-1.079,-0.311
3320,104621395,49845.61,27.54,-1.071,-0.257
3322,104681395,49843.89,27.54,-1.047,-0.023
3324,104741395,49843.52,27.54,-0.978,0.454
3326,104801396,49843.68,27.54,-0.969,0.813
3328,104861395,49843.83,27.53,-0.931,0.427
3330,104921403,49845.75,27.53,-0.957,0.500
3332,104981395,49843.38,27.53,-0.938,-0.186
3334,105041395,49845.73,27.53,-0.948,0.122
3336,105101396,49845.76,27.53,-0.966,0.064
3338,105161394,49843.46,27.52,-0.944,-0.322
3340,105221395,49844.86,27.52,-0.954,0.070
3342,105281395,49846.66,27.52,-0.979,0.108
3344,105341395,49844.93,27.52,-0.940,-0.057
3346,105401396,49846.43,27.51,-1.018,-0.077
3348,105461394,49844.55,27.51,-1.025,-0.897
3350,105521395,49847.17,27.51,-1.090,-0.457
3352,105581395,49844.75,27.51,-1.093,-0.720
