=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.15 20:10:54 =~=~=~=~=~=~=~=~=~=~=~=
1845,65601939,100049.98,25.47,-0.340,-0.209,-0.092,-94.297,-94.587
1847,65662130,100051.38,25.48,-0.375,-0.328,0.311,-94.303,-94.587
1849,65729183,100054.87,25.47,-0.409,-0.621,-0.247,-94.302,-94.594
1851,65790389,100052.70,25.48,-0.381,-0.438,-0.160,-94.303,-94.603
1853,65852940,100050.85,25.49,-0.378,-0.283,0.080,-94.305,-94.604
1855,65920132,100051.15,25.48,-0.343,-0.308,0.166,-94.300,-94.645
1857,65989034,100047.23,25.47,-0.330,0.022,0.245,-94.310,-94.719
1859,66050388,100052.66,25.48,-0.344,-0.435,0.161,-94.308,-94.802
1861,66115171,100053.88,25.48,-0.403,-0.537,-0.126,-94.335,-94.832
1863,66181176,100054.44,25.48,-0.440,-0.585,-0.732,-94.357,-94.808
1865,66250150,100053.72,25.47,-0.461,-0.525,-0.547,-94.377,-94.749
1867,66314129,100053.06,25.48,-0.467,-0.469,-0.339,-94.391,-94.707
1869,66380888,100053.22,25.48,-0.467,-0.483,-0.102,-94.396,-94.696
1871,66442394,100060.78,25.49,-0.575,-1.120,-0.210,-94.409,-94.723
1873,66511942,100054.85,25.49,-0.577,-0.620,-1.045,-94.449,-94.778
1875,66572142,100054.55,25.49,-0.564,-0.594,-0.365,-94.462,-94.817
1877,66641176,100054.64,25.49,-0.571,-0.602,0.083,-94.479,-94.853
1879,66706941,100055.08,25.49,-0.598,-0.639,-0.176,-94.504,-94.823
1881,66773129,100053.06,25.49,-0.569,-0.469,-0.204,-94.520,-94.773
1883,66841923,100051.12,25.48,-0.536,-0.305,0.252,-94.519,-94.644
1885,66903389,100054.86,25.49,-0.576,-0.621,0.237,-94.519,-94.616
1887,66968140,100053.11,25.49,-0.554,-0.473,-0.171,-94.523,-94.681
1889,67035192,100056.82,25.49,-0.593,-0.786,0.069,-94.528,-94.750
1891,67102977,100054.57,25.49,-0.610,-0.596,-0.384,-94.553,-94.860
1893,67167138,100052.07,25.49,-0.575,-0.386,-0.253,-94.571,-94.915
1895,67236192,100055.88,25.48,-0.558,-0.707,0.482,-94.571,-94.920
1897,67303917,100055.33,25.48,-0.581,-0.660,0.228,-94.593,-94.855
1899,67368137,100058.95,25.49,-0.680,-0.966,-0.588,-94.617,-94.738
1901,67435181,100054.79,25.49,-0.673,-0.614,-1.000,-94.629,-94.573
1903,67496392,100056.18,25.49,-0.691,-0.732,-0.257,-94.622,-94.467
1905,67559943,100054.50,25.50,-0.695,-0.590,-0.227,-94.620,-94.399
1907,67626130,100055.10,25.49,-0.660,-0.641,0.072,-94.600,-94.379
1909,67694990,100058.20,25.49,-0.698,-0.902,0.324,-94.582,-94.362
1911,67758948,100055.76,25.49,-0.726,-0.697,-0.459,-94.586,-94.341
1913,67821133,100055.59,25.50,-0.743,-0.682,-0.537,-94.581,-94.303
1915,67888181,100059.11,25.49,-0.763,-0.979,-0.142,-94.565,-94.355
1917,67956076,100057.15,25.49,-0.751,-0.814,-0.080,-94.557,-94.339
1919,68020127,100060.90,25.49,-0.827,-1.130,-0.220,-94.563,-94.406
1921,68089180,100054.43,25.49,-0.799,-0.584,-0.736,-94.576,-94.464
1923,68156968,100057.57,25.49,-0.737,-0.849,0.367,-94.551,-94.449
1925,68221135,100056.70,25.49,-0.723,-0.776,0.824,-94.550,-94.465
1927,68288191,100054.95,25.50,-0.675,-0.629,0.329,-94.541,-94.494
1929,68357428,100052.73,25.49,-0.626,-0.441,0.556,-94.532,-94.541
1931,68423129,100056.48,25.50,-0.622,-0.757,0.614,-94.520,-94.526
1933,68489183,100051.02,25.50,-0.593,-0.297,0.159,-94.528,-94.546
1935,68558217,100056.12,25.50,-0.605,-0.727,0.217,-94.513,-94.540
1937,68622136,100054.09,25.50,-0.607,-0.555,0.047,-94.519,-94.591
1939,68691181,100056.77,25.50,-0.653,-0.782,-0.236,-94.525,-94.591
1941,68759052,100057.00,25.50,-0.685,-0.801,-0.478,-94.537,-94.612
1943,68823128,100050.59,25.50,-0.613,-0.261,-0.283,-94.545,-94.626
1945,68889441,100057.20,25.51,-0.641,-0.818,0.566,-94.534,-94.622
1947,68951392,100052.81,25.51,-0.586,-0.448,0.191,-94.534,-94.616
1949,69014944,100056.56,25.52,-0.592,-0.765,0.491,-94.532,-94.699
1951,69081137,100054.48,25.52,-0.578,-0.589,0.149,-94.543,-94.710
1953,69143389,100055.52,25.52,-0.578,-0.676,0.081,-94.544,-94.720
1955,69210446,100052.34,25.52,-0.552,-0.408,0.046,-94.552,-94.731
1957,69276134,100053.02,25.52,-0.551,-0.465,0.147,-94.558,-94.742
1959,69343189,100049.75,25.52,-0.491,-0.190,0.227,-94.556,-94.750
1961,69411274,100052.21,25.51,-0.440,-0.397,0.808,-94.532,-94.756
1963,69474944,100054.98,25.52,-0.439,-0.630,0.820,-94.524,-94.764
1965,69540153,100051.99,25.52,-0.422,-0.379,0.148,-94.524,-94.775
1967,69601597,100055.77,25.53,-0.480,-0.697,-0.101,-94.526,-94.777
