=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.10 18:05:49 =~=~=~=~=~=~=~=~=~=~=~=
seq,timestamp_us,pressure_pa,temperature_c,altitude_m,raw_altitude_m,climb_rate_mps
661,29064396,99713.55,27.88,-0.798,-0.846,-0.546
663,29124416,99712.41,27.89,-0.801,-0.749,-0.481
665,29184397,99712.94,27.89,-0.792,-0.794,-0.050
667,29244422,99711.24,27.89,-0.763,-0.650,0.198
669,29304397,99709.47,27.89,-0.720,-0.500,0.399
671,29364396,99711.16,27.89,-0.738,-0.644,0.391
673,29424427,99711.76,27.89,-0.753,-0.694,-0.117
675,29484397,99709.17,27.89,-0.723,-0.475,-0.115
677,29544450,99711.21,27.89,-0.722,-0.648,0.300
679,29604397,99716.62,27.89,-0.762,-1.105,0.202
681,29664397,99712.66,27.90,-0.735,-0.771,-0.206
683,29724416,99712.96,27.90,-0.763,-0.796,-0.098
685,29784397,99709.34,27.90,-0.710,-0.490,-0.156
687,29844422,99713.88,27.90,-0.742,-0.874,0.420
689,29904397,99716.48,27.90,-0.796,-1.094,-0.229
691,29964396,99708.94,27.90,-0.756,-0.455,-0.666
693,30024416,99713.78,27.90,-0.774,-0.865,0.140
695,30084397,99712.51,27.90,-0.748,-0.758,0.182
697,30144474,99709.27,27.90,-0.732,-0.484,0.124
699,30204408,99711.80,27.91,-0.717,-0.697,0.260
701,30264396,99712.10,27.91,-0.733,-0.723,0.241
703,30324416,99713.52,27.91,-0.741,-0.843,-0.122
705,30384397,99720.83,27.91,-0.825,-1.461,-0.132
707,30444422,99715.16,27.91,-0.865,-0.982,-1.080
709,30504397,99714.23,27.91,-0.833,-0.903,-0.691
711,30564396,99710.77,27.91,-0.840,-0.610,0.038
713,30624416,99710.46,27.91,-0.809,-0.584,-0.067
715,30684397,99709.92,27.91,-0.738,-0.538,0.699
717,30744450,99712.66,27.91,-0.752,-0.771,0.851
719,30804397,99710.90,27.90,-0.739,-0.621,0.048
721,30864396,99716.12,27.91,-0.795,-1.063,-0.007
723,30924416,99711.62,27.90,-0.788,-0.682,-0.529
725,30984408,99712.14,27.90,-0.737,-0.726,0.100
727,31044422,99717.81,27.90,-0.788,-1.207,0.607
729,31104397,99710.92,27.90,-0.743,-0.623,-0.306
731,31164396,99709.15,27.90,-0.696,-0.473,0.255
733,31224416,99707.87,27.90,-0.671,-0.365,0.546
735,31284397,99712.56,27.89,-0.675,-0.762,0.486
737,31344449,99715.09,27.89,-0.694,-0.976,0.259
739,31404397,99714.86,27.89,-0.768,-0.956,-0.524
741,31464396,99711.16,27.89,-0.769,-0.643,-1.057
743,31524416,99712.35,27.89,-0.719,-0.744,0.067
745,31584397,99715.74,27.89,-0.775,-1.031,0.472
747,31644433,99711.88,27.89,-0.748,-0.704,-0.432
749,31704397,99714.04,27.89,-0.763,-0.887,0.061
751,31764405,99712.98,27.88,-0.748,-0.798,0.008
753,31824416,99712.39,27.88,-0.746,-0.748,0.072
755,31884397,99712.86,27.88,-0.771,-0.787,-0.111
757,31944449,99711.79,27.88,-0.754,-0.697,-0.215
759,32004397,99714.20,27.88,-0.774,-0.900,0.116
761,32064396,99714.32,27.88,-0.780,-0.910,-0.101
763,32124416,99710.59,27.88,-0.743,-0.595,-0.058
765,32184397,99712.52,27.88,-0.743,-0.758,0.307
767,32244423,99711.52,27.88,-0.744,-0.674,0.080
769,32304397,99714.95,27.87,-0.778,-0.964,-0.078
771,32364397,99712.73,27.87,-0.757,-0.777,-0.189
773,32424416,99711.02,27.87,-0.723,-0.632,0.186
775,32484397,99712.30,27.88,-0.704,-0.740,0.484
777,32544458,99710.40,27.87,-0.691,-0.579,0.279
779,32604397,99711.16,27.87,-0.701,-0.643,0.049
781,32664397,99711.15,27.87,-0.681,-0.642,0.069
783,32724416,99713.04,27.87,-0.705,-0.802,0.170
785,32784397,99714.48,27.88,-0.740,-0.925,-0.275
787,32844422,99714.52,27.87,-0.766,-0.927,-0.487
789,32904397,99712.23,27.88,-0.773,-0.734,-0.481
791,32964396,99709.93,27.88,-0.719,-0.539,-0.031
793,33024416,99711.62,27.88,-0.722,-0.682,0.533
795,33084397,99712.94,27.88,-0.748,-0.794,0.028
797,33144476,99710.38,27.88,-0.720,-0.578,-0.186
799,33204397,99711.80,27.88,-0.729,-0.698,0.170
801,33264396,99711.45,27.88,-0.751,-0.668,-0.143
803,33324427,99709.76,27.88,-0.707,-0.525,-0.105
805,33384397,99715.39,27.88,-0.770,-1.001,0.303
807,33444422,99711.04,27.88,-0.739,-0.633,-0.403
809,33504397,99709.48,27.88,-0.733,-0.502,0.004
811,33564396,99708.56,27.88,-0.686,-0.423,0.236
813,33624416,99713.79,27.89,-0.740,-0.866,0.435
815,33684397,99714.25,27.89,-0.789,-0.905,-0.527
817,33744450,99714.03,27.89,-0.840,-0.886,-0.880
819,33804397,99712.37,27.89,-0.833,-0.745,-0.677
821,33864396,99712.06,27.89,-0.817,-0.719,0.015
823,33924416,99710.69,27.89,-0.777,-0.603,0.326
825,33984397,99711.34,27.89,-0.770,-0.659,0.464
827,34044422,99713.46,27.89,-0.773,-0.838,0.249
829,34104408,99711.57,27.89,-0.753,-0.678,0.106
831,34164396,99711.29,27.89,-0.754,-0.654,0.095
833,34224416,99713.47,27.89,-0.775,-0.839,-0.013
835,34284397,99711.46,27.90,-0.750,-0.669,-0.082
837,34344449,99716.18,27.90,-0.789,-1.068,0.176
839,34404397,99711.54,27.90,-0.809,-0.676,-0.516
841,34464396,99713.23,27.90,-0.788,-0.819,-0.297
843,34524416,99712.76,27.90,-0.775,-0.779,0.351
845,34584397,99712.48,27.90,-0.761,-0.756,0.202
847,34644433,99713.70,27.90,-0.783,-0.859,0.098
849,34704397,99714.98,27.90,-0.802,-0.966,-0.208
851,34764396,99713.57,27.90,-0.824,-0.847,-0.378
853,34824416,99712.51,27.90,-0.774,-0.757,-0.101
855,34884408,99710.16,27.90,-0.767,-0.559,0.396
857,34944450,99708.45,27.90,-0.730,-0.414,0.127
859,35004397,99713.52,27.90,-0.742,-0.843,0.523
861,35064396,99713.70,27.90,-0.747,-0.858,0.156
863,35124416,99711.27,27.90,-0.744,-0.652,-0.164
865,35184397,99712.21,27.90,-0.737,-0.732,-0.011
867,35244422,99709.66,27.90,-0.688,-0.517,0.280
869,35304397,99713.67,27.90,-0.718,-0.856,0.451
871,35364397,99714.62,27.90,-0.755,-0.936,-0.236
873,35424416,99710.23,27.90,-0.763,-0.565,-0.674
875,35484397,99712.47,27.90,-0.724,-0.754,-0.010
877,35544449,99716.54,27.90,-0.807,-1.098,0.281
879,35604397,99715.66,27.90,-0.843,-1.024,-0.922
881,35664408,99713.97,27.90,-0.851,-0.881,-0.670
883,35724416,99710.23,27.89,-0.811,-0.565,-0.176
885,35784397,99711.95,27.89,-0.799,-0.710,0.400
887,35844422,99713.20,27.89,-0.808,-0.816,0.275
889,35904397,99710.59,27.89,-0.796,-0.595,-0.095
891,35964396,99713.30,27.89,-0.794,-0.825,0.143
893,36024416,99716.51,27.89,-0.786,-1.096,0.396
895,36084397,99710.60,27.89,-0.768,-0.596,0.057
897,36144474,99710.12,27.89,-0.721,-0.555,0.140
899,36204397,99710.44,27.89,-0.707,-0.582,0.604
901,36264397,99711.99,27.89,-0.714,-0.714,0.265
903,36324416,99710.22,27.89,-0.693,-0.564,0.055
905,36384397,99710.59,27.90,-0.689,-0.595,0.168
907,36444431,99712.64,27.89,-0.729,-0.769,-0.041
909,36504397,99712.52,27.89,-0.731,-0.758,-0.343
911,36564396,99711.59,27.89,-0.729,-0.679,-0.109
913,36624416,99716.59,27.89,-0.772,-1.103,-0.011
915,36684397,99712.02,27.89,-0.758,-0.716,-0.374
917,36744450,99715.77,27.89,-0.781,-1.033,-0.072
919,36804397,99711.46,27.89,-0.772,-0.669,-0.215
921,36864396,99713.95,27.89,-0.800,-0.880,-0.182
923,36924416,99710.39,27.89,-0.751,-0.578,-0.078
925,36984397,99711.17,27.89,-0.723,-0.645,0.528
927,37044422,99714.77,27.89,-0.777,-0.949,0.287
929,37104397,99712.82,27.89,-0.778,-0.784,-0.482
931,37164396,99711.92,27.89,-0.774,-0.708,-0.200
933,37224427,99712.60,27.88,-0.730,-0.765,0.289
935,37284397,99712.57,27.88,-0.737,-0.763,0.481
937,37344450,99709.19,27.88,-0.719,-0.477,-0.107
939,37404397,99713.36,27.88,-0.720,-0.830,0.228
941,37464396,99710.87,27.88,-0.722,-0.619,0.088
943,37524416,99707.70,27.88,-0.673,-0.350,-0.037
945,37584397,99713.51,27.87,-0.681,-0.842,0.634
947,37644433,99712.05,27.87,-0.696,-0.719,0.108
949,37704397,99714.35,27.87,-0.722,-0.913,-0.284
951,37764396,99709.23,27.87,-0.688,-0.480,-0.260
953,37824416,99711.60,27.87,-0.715,-0.681,0.040
955,37884397,99709.62,27.87,-0.676,-0.513,-0.009
957,37944450,99712.66,27.86,-0.697,-0.771,0.344
959,38004408,99709.81,27.86,-0.688,-0.529,-0.133
961,38064396,99711.02,27.86,-0.716,-0.631,-0.180
963,38124416,99714.64,27.86,-0.733,-0.938,-0.138
965,38184397,99714.14,27.86,-0.770,-0.895,-0.265
967,38244422,99712.29,27.86,-0.768,-0.739,-0.544
969,38304397,99710.78,27.85,-0.760,-0.611,-0.146
971,38364396,99710.70,27.86,-0.752,-0.605,0.051
973,38424416,99713.88,27.85,-0.726,-0.873,0.417
975,38484397,99712.59,27.85,-0.700,-0.765,0.547
977,38544450,99712.74,27.85,-0.714,-0.777,0.175
979,38604397,99712.91,27.85,-0.737,-0.792,-0.242
981,38664397,99715.57,27.85,-0.772,-1.017,-0.326
983,38724416,99713.11,27.85,-0.834,-0.809,-0.763
985,38784408,99711.46,27.85,-0.816,-0.669,-0.833
987,38844422,99715.65,27.85,-0.834,-1.023,0.168
989,38904397,99711.49,27.85,-0.828,-0.672,-0.145
991,38964396,99709.67,27.85,-0.778,-0.518,0.018
993,39024416,99713.95,27.85,-0.787,-0.880,0.633
995,39084397,99707.29,27.85,-0.726,-0.316,0.179
997,39144488,99714.70,27.85,-0.759,-0.943,0.512
999,39204397,99714.77,27.85,-0.758,-0.948,0.103
1001,39264396,99711.49,27.85,-0.728,-0.671,-0.014
1003,39324416,99714.62,27.85,-0.777,-0.936,0.038
1005,39384397,99715.34,27.85,-0.770,-0.997,-0.262
1007,39444423,99711.32,27.85,-0.759,-0.657,-0.082
1009,39504397,99714.13,27.85,-0.798,-0.895,-0.163
1011,39564405,99716.72,27.85,-0.876,-1.114,-0.591
1013,39624416,99717.59,27.85,-0.896,-1.187,-0.837
1015,39684397,99712.38,27.85,-0.864,-0.747,-0.343
1017,39744449,99713.63,27.85,-0.895,-0.853,-0.062
1019,39804397,99712.64,27.85,-0.864,-0.769,-0.113
1021,39864396,99713.86,27.85,-0.852,-0.872,0.384
1023,39924416,99716.91,27.85,-0.840,-1.129,0.468
1025,39984397,99713.23,27.84,-0.815,-0.819,0.263
1027,40044423,99711.23,27.84,-0.788,-0.650,0.141
1029,40104397,99707.55,27.84,-0.729,-0.338,0.359
1031,40164397,99715.69,27.84,-0.762,-1.027,0.729
1033,40224416,99709.83,27.84,-0.738,-0.531,-0.040
1035,40284397,99712.11,27.84,-0.746,-0.724,-0.006
1037,40344458,99711.76,27.84,-0.733,-0.694,0.108
1039,40404397,99711.84,27.84,-0.737,-0.701,0.100
1041,40464396,99712.80,27.84,-0.762,-0.782,-0.116
1043,40524416,99711.86,27.84,-0.763,-0.703,-0.288
1045,40584397,99712.91,27.84,-0.787,-0.791,-0.172
1047,40644433,99714.17,27.85,-0.776,-0.899,-0.078
1049,40704397,99713.31,27.84,-0.778,-0.826,0.102
1051,40764396,99710.86,27.84,-0.787,-0.618,-0.234
1053,40824416,99714.33,27.85,-0.829,-0.911,-0.291
1055,40884397,99717.75,27.85,-0.898,-1.201,-0.510
1057,40944450,99712.37,27.84,-0.860,-0.746,-0.696
1059,41004397,99713.51,27.84,-0.842,-0.842,0.228
1061,41064396,99713.88,27.84,-0.824,-0.873,0.429
1063,41124427,99714.30,27.84,-0.850,-0.909,0.108
1065,41184397,99712.95,27.84,-0.845,-0.795,-0.293
1067,41244422,99715.26,27.84,-0.906,-0.990,-0.276
1069,41304397,99709.30,27.84,-0.854,-0.486,-0.556
1071,41364396,99712.26,27.84,-0.836,-0.736,0.451
1073,41424416,99712.20,27.84,-0.824,-0.732,0.477
1075,41484397,99716.30,27.84,-0.849,-1.078,0.223
1077,41544450,99714.69,27.84,-0.880,-0.942,-0.310
1079,41604397,99711.85,27.84,-0.867,-0.702,-0.530
1081,41664397,99713.10,27.84,-0.838,-0.808,0.197
1083,41724416,99713.84,27.84,-0.868,-0.871,0.267
1085,41784397,99714.87,27.85,-0.852,-0.957,-0.118
1087,41844422,99712.96,27.85,-0.840,-0.796,0.171
1089,41904408,99713.91,27.84,-0.802,-0.876,0.322
1091,41964397,99713.72,27.84,-0.843,-0.860,0.229
1093,42024416,99711.07,27.85,-0.796,-0.636,-0.292
1095,42084397,99711.33,27.85,-0.761,-0.658,0.556
1097,42144475,99718.17,27.85,-0.822,-1.237,0.460
1099,42204397,99716.77,27.85,-0.841,-1.118,-0.461
1101,42264396,99712.96,27.85,-0.816,-0.796,-0.409
1103,42324416,99712.08,27.85,-0.830,-0.721,-0.074
1105,42384397,99710.80,27.85,-0.795,-0.614,-0.039
1107,42444422,99715.52,27.85,-0.832,-1.013,0.338
1109,42504397,99713.49,27.85,-0.819,-0.840,-0.148
