=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 01:02:26 =~=~=~=~=~=~=~=~=~=~=~=
6445,2134,73832078,-0.750,0.125,167.122,167.062,1.477,0.537,-0.648,99677.06,33.32,-92.170,-93.530,-19.1480,1,1
6457,2138,73950770,-0.750,0.188,167.079,167.062,1.766,0.897,3.329,99672.81,33.34,-91.988,-93.535,-18.9599,1,1
6467,2141,74050759,-0.750,0.188,167.068,167.062,1.484,1.986,-3.870,99659.94,33.36,-92.006,-93.583,-19.1684,1,1
6478,2145,74160604,-1.000,0.188,167.081,167.125,1.032,-0.148,-2.454,99685.16,33.34,-91.996,-93.620,-19.0137,1,1
6490,2149,74282904,-1.188,0.188,167.113,167.125,1.087,0.871,-0.549,99673.12,33.37,-91.993,-93.664,-19.1630,1,1
6502,2153,74401774,-1.750,0.188,167.122,167.125,1.522,2.241,2.754,99656.92,33.37,-91.905,-93.690,-19.0980,1,1
6513,2156,74501785,-2.688,0.188,167.136,167.188,1.735,2.707,2.217,99651.42,33.35,-91.819,-93.711,-19.1869,1,1
6526,2160,74622338,-4.125,0.250,167.174,167.188,1.316,0.918,-1.771,99672.56,33.35,-91.819,-93.756,-19.4060,1,1
6537,2163,74725527,-7.312,0.312,167.220,167.250,1.327,1.482,-2.573,99665.89,33.37,-91.826,-93.789,-19.1279,1,1
6548,2166,74825523,-12.625,0.438,167.082,166.812,1.188,1.494,-0.778,99665.75,33.34,-91.874,-93.819,-18.7227,1,1
6559,2169,74925594,-18.562,0.625,166.820,166.750,1.512,1.048,2.461,99671.03,33.33,-91.766,-93.773,-18.3428,1,1
6572,2173,75044205,-23.938,0.812,166.800,166.812,1.253,0.095,-1.012,99682.28,33.33,-91.749,-93.683,-17.7255,1,1
6583,2176,75144356,-25.500,0.938,166.844,166.875,1.324,1.597,-2.658,99664.54,33.32,-91.781,-93.582,-17.7363,1,1
6595,2180,75260527,-25.562,0.938,166.866,166.875,1.439,1.318,1.871,99667.84,33.33,-91.701,-93.434,-17.5174,1,1
