=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 13:29:59 =~=~=~=~=~=~=~=~=~=~=~=
4956,1345,51244873,8.062,-0.562,49.813,49.812,0.212,-0.295,-0.628,100062.85,36.50,-93.963,-95.591,-19.4320,0.7000,-0.6000,9.8000,0.0000,0.0000,-0.0625,-17.8750,11.5000,104.8750,0.0100,0.0300,0.0600,0.7000,-0.6300,9.7600,1,1
4971,1349,51365031,8.062,-0.562,49.813,49.812,0.134,-0.732,0.562,100068.03,36.50,-94.045,-95.647,-19.3750,0.6500,-0.6500,9.7500,0.0625,-0.1875,0.0625,-17.5625,11.5000,104.3750,0.0000,0.0100,-0.1400,0.7000,-0.6300,9.7600,1,1
4985,1353,51484756,8.062,-0.562,49.813,49.812,0.098,0.064,-0.344,100058.59,36.51,-94.156,-95.697,-19.3810,0.6900,-0.6100,9.7500,0.1250,-0.0625,0.1250,-18.2500,11.8750,104.7500,0.0200,0.0200,0.0600,0.7000,-0.6300,9.7600,1,1
5000,1357,51607291,8.062,-0.562,49.813,49.812,0.395,1.360,1.029,100043.22,36.51,-94.213,-95.738,-19.4316,0.6600,-0.6000,9.8000,0.0625,-0.2500,0.0625,-18.2500,10.3750,104.7500,-0.0400,0.0200,0.0400,0.7000,-0.6300,9.7600,1,1
5014,1361,51725130,8.062,-0.562,49.813,49.812,0.504,0.017,1.651,100059.15,36.52,-94.198,-95.763,-19.3937,0.6900,-0.5900,9.7600,-0.0625,-0.1250,0.0625,-17.8750,11.0625,103.5625,0.0000,0.0400,0.0300,0.7000,-0.6300,9.7600,1,1
5028,1365,51845220,8.062,-0.562,49.813,49.812,0.542,0.795,-0.087,100049.92,36.52,-94.257,-95.802,-19.4517,0.6900,-0.6000,9.8200,0.0625,-0.1875,0.0625,-17.8750,11.0625,105.1875,0.0000,0.0400,0.0600,0.7000,-0.6300,9.7600,1,1
5043,1369,51965488,8.062,-0.562,49.813,49.812,0.525,0.088,1.056,100058.30,36.52,-94.279,-95.834,-19.4432,0.6900,-0.5900,9.8100,-0.0625,-0.0625,0.0000,-18.2500,11.8750,104.3750,0.0000,0.0100,0.0400,0.7000,-0.6300,9.7600,1,1
5057,1373,52085314,8.062,-0.562,49.813,49.812,0.292,-0.268,-1.728,100062.53,36.51,-94.368,-95.877,-19.3162,0.7100,-0.6500,9.6900,0.1250,0.1250,-0.0625,-18.6875,11.8750,105.1875,-0.0300,0.0400,0.0300,0.7000,-0.6300,9.7600,1,1
5072,1377,52207295,8.062,-0.562,49.813,49.812,0.335,-0.334,0.473,100063.32,36.53,-94.413,-95.915,-20.1798,0.8600,-1.2800,10.6500,-0.8125,-0.5000,0.0000,-18.2500,11.8750,104.7500,0.1500,-0.6400,0.8900,0.7000,-0.6300,9.7600,1,1
5086,1381,52325491,8.125,-0.562,49.813,49.812,0.600,0.449,1.769,100054.02,36.51,-94.415,-95.944,-19.4681,0.7000,-0.6100,9.8400,-0.0625,0.0000,0.0000,-17.5625,12.1875,105.5625,-0.0100,0.0100,0.0200,0.7000,-0.6300,9.7600,1,1
5100,1385,52445683,8.125,-0.562,49.813,49.812,0.644,0.956,0.200,100048.01,36.52,-94.449,-95.974,-19.4679,0.6800,-0.6100,9.8400,0.0000,0.0625,0.0625,-18.2500,11.5000,105.6875,-0.0100,0.0200,-0.0100,0.7000,-0.6300,9.7600,1,1
5115,1389,52565848,8.125,-0.562,49.813,49.812,0.674,0.137,0.694,100057.73,36.53,-94.441,-95.995,-19.4312,0.6900,-0.5900,9.8000,0.0000,0.0625,-0.0625,-18.6875,11.5000,104.3750,0.0000,0.0200,0.0400,0.7000,-0.6300,9.7600,1,1
5129,1393,52685682,8.125,-0.562,49.813,49.812,0.652,0.676,-0.774,100051.34,36.52,-94.486,-96.025,-19.4087,0.7000,-0.6100,9.7800,0.0000,0.0625,0.0000,-17.8750,12.1875,104.3750,0.0000,0.0100,0.0400,0.7000,-0.6300,9.7600,1,1
5144,1397,52806415,8.125,-0.562,49.813,49.812,0.453,-0.074,-1.836,100060.23,36.54,-94.547,-96.059,-19.4412,0.7000,-0.5900,9.8100,0.0000,-0.1250,0.0000,-17.5625,11.8750,104.0000,0.0000,0.0300,0.0500,0.7000,-0.6300,9.7600,1,1
5158,1401,52925724,8.125,-0.562,49.780,49.750,0.557,0.674,0.232,100051.35,36.52,-94.584,-96.087,-19.4541,0.7200,-0.5700,9.8200,0.0625,-0.1250,0.0000,-17.1875,11.8750,105.6875,-0.0100,0.0000,0.0200,0.7000,-0.6300,9.7600,1,1
5172,1405,53045935,8.125,-0.562,49.757,49.750,0.750,0.982,1.902,100047.70,36.53,-94.570,-96.104,-19.4510,0.6900,-0.5900,9.8200,-0.0625,-0.1250,0.0625,-17.1875,11.8750,104.0000,-0.0100,0.0000,-0.0100,0.7000,-0.6300,9.7600,1,1
